메뉴 코드,메뉴 명,가격,진열순서
1001,아이스 아메리카노,2000,1
1002,아이스 카페라떼,2500,2
1003,아이스 바닐라라떼,2500,3
1004,아이스 카라멜마끼야또,2500,4
1005,아이스 카페모카,2500,5
1006,아이스 헤이즐넛,2500,6
1007,아이스 녹차라떼,2500,7
1008,아이스 초코라떼,2500,8
1010,아이스 헤이즐넛라떼,2500,9
1009,아몬드크림라떼,4000,10
1010,ㄴ 덜달게,0,11
1011,ㄴ 달게,0,12
1012,ㄴ 샷추가,0,13
1013,ㄴ 연하게,0,14
1014,ㄴ 우유조금,0,15
2001,핫 아메리카노,2000,17
2002,에스프레소,2000,16
2003,핫 카페라떼,2500,18
2004,핫 바닐라라떼,2500,19
2005,핫 카라멜마끼야또,2500,20
2006,핫 카페모카,2500,21
2007,핫 헤이즐넛,2500,22
2008,핫 녹차라떼,2500,23
2009,핫 초코라떼,2500,24
2010,핫 헤이즐넛라떼,2500,25
2011,꿀 생강라떼,3500,26
2012,ㄴ 덜달게,0,27
2013,ㄴ 달게,0,28
2014,ㄴ 샷추가,0,29
2015,ㄴ 연하게,0,30
2016,ㄴ 우유조금,0,31
3001,자몽에이드 (생과일),3000,32
3002,레몬에이드 (생과일),3000,33
3003,청포도에이드,3000,34
3004,자두에이드,2500,35
3005,수제아로니아 베리에이드,3000,36
3006,플레인요거트스무디,3000,37
3007,딸기스무디,4000,38
3008,딸기요거트스무디,4000,39
3009,유자스무디,3000,40
4001,복숭아아이스티 (소),1500,41
4002,레몬아이스티 (소),1500,42
4003,복숭아아이스티 (대),2000,43
4004,레몬아이스티 (대),2000,44
4005,자몽차,2000,45
4006,유자차,2000,46
4007,레몬차,2000,47
4008,생강차,2000,48
4009,골드메달 사과주스,3000,49
4010,과일사이다 (복숭아),2500,50
4011,과일사이다 (수박),2500,51
4012,과일사이다 (메론),2500,52
4013,과일사이다 (사과),2500,53
4014,분다버그 (자몽),3500,54
4015,분다버그 (레몬),3500,55
4016,분다버그 (망고),3500,56
4017,ㄴ 아이스컵,0,57
5001,크루아상,2000,58
5002,베이글,2000,59
5003,베이글세트,5000,60
5004,크림치즈 (플레인),1500,61
5005,크림치즈 (바질),1500,62
5006,크림치즈 (블루베리),1500,63
5007,미니바게트,2000,64
5008,호두파이,3000,65
5009,벨지움초코타르트,3000,66
5010,마카롱 (초코),1500,67
5011,마카롱 (바닐라),1500,68
5012,마카롱 (라즈베리),1500,69
5013,하겐다즈 바닐라,4800,71
5014,하겐다즈 그린티,4800,72
5015,하겐다즈 스트로베리,4800,73
5016,하겐다즈 벨지안초콜릿,4800,74
5017,하겐다즈 마카다미아넛,4800,75
5018,하겐다즈 쿠키&크림,4800,76
5019,하겐다즈 카라멜샌드,4800,77
5020,하겐다즈 스트로베리샌드,4800,78
5021,퐁당 오 쇼콜라,3000,82
5022,하겐다즈 파인트 초콜릿,13000,79
5023,하겐다즈 파인트 바닐라,13000,80
5024,하겐다즈 파인트 스트로베리,13000,81
