메뉴 코드,메뉴 명,가격,진열순서
1001,아이스 아메리카노,2000,1001
1002,아이스 카페라떼,2500,1002
1003,아이스 바닐라라떼,2500,1003
1004,아이스 카라멜마끼야또,2500,1004
1005,아이스 카페모카,2500,1005
1006,아이스 헤이즐넛,2500,1006
1007,아이스 녹차라떼,2500,1007
1008,아이스 초코라떼,2500,1008
1010,아이스 헤이즐넛라떼,2500,1010
1009,아몬드크림라떼,4000,1009
1010,ㄴ 덜달게,0,1010
1011,ㄴ 달게,0,1011
1012,ㄴ 샷추가,0,1012
1013,ㄴ 연하게,0,1013
1014,ㄴ 우유조금,0,1014
2001,핫 아메리카노,2000,2001
2002,에스프레소,2000,2002
2003,핫 카페라떼,2500,2003
2004,핫 바닐라라떼,2500,2004
2005,핫 카라멜마끼야또,2500,2005
2006,핫 카페모카,2500,2006
2007,핫 헤이즐넛,2500,2007
2008,핫 녹차라떼,2500,2008
2009,핫 초코라떼,2500,2009
2010,핫 헤이즐넛라떼,2500,2010
2011,꿀 생강라떼,3500,2011
2012,ㄴ 덜달게,0,2012
2013,ㄴ 달게,0,2013
2014,ㄴ 샷추가,0,2014
2015,ㄴ 연하게,0,2015
2016,ㄴ 우유조금,0,2016
3001,자몽에이드 (생과일),3000,3001
3002,레몬에이드 (생과일),3000,3002
3003,청포도에이드,3000,3003
3004,자두에이드,2500,3004
3005,수제아로니아 베리에이드,3000,3005
3006,플레인요거트스무디,3000,3006
3007,딸기스무디,4000,3007
3008,딸기요거트스무디,4000,3008
3009,유자스무디,3000,3009
4001,복숭아아이스티 (소),1500,4001
4002,레몬아이스티 (소),1500,4002
4003,복숭아아이스티 (대),2000,4003
4004,레몬아이스티 (대),2000,4004
4005,자몽차,2000,4005
4006,유자차,2000,4006
4007,레몬차,2000,4007
4008,생강차,2000,4008
4009,골드메달 사과주스,3000,4009
4010,과일사이다 (복숭아),2500,4010
4011,과일사이다 (수박),2500,4011
4012,과일사이다 (메론),2500,4012
4013,과일사이다 (사과),2500,4013
4014,분다버그 (자몽),3500,4014
4015,분다버그 (레몬),3500,4015
4016,분다버그 (망고),3500,4016
4017,ㄴ 아이스컵,0,4017
5001,크루아상,2000,5001
5002,베이글,2000,5002
5003,베이글세트,5000,5003
5004,크림치즈 (플레인),1500,5004
5005,크림치즈 (바질),1500,5005
5006,크림치즈 (블루베리),1500,5006
5007,미니바게트,2000,5007
5008,호두파이,3000,5008
5009,벨지움초코타르트,3000,5009
5010,마카롱 (초코),1500,5010
5011,마카롱 (바닐라),1500,5011
5012,마카롱 (라즈베리),1500,5012
5013,하겐다즈 바닐라,4800,5013
5014,하겐다즈 그린티,4800,5014
5015,하겐다즈 스트로베리,4800,5015
5016,하겐다즈 벨지안초콜릿,4800,5016
5017,하겐다즈 마카다미아넛,4800,5017
5018,하겐다즈 쿠키&크림,4800,5018
5019,하겐다즈 카라멜샌드,4800,5019
5020,하겐다즈 스트로베리샌드,4800,5020
5021,퐁당 오 쇼콜라,3000,5021
5022,하겐다즈 파인트 초콜릿,13000,5022
5023,하겐다즈 파인트 바닐라,13000,5023
5024,하겐다즈 파인트 스트로베리,13000,5024
